IMG_NAME,FUNC_NAME,TOT_CYCLES,TOT_FLOPS,I_ADDS,I_MULS,I_SUBS,I_DIVS,FP_ADDS,FP_MULS,FP_SUBS,FP_DIVS,CPU_FREQUENCY,BYTES_FP,BYTES_INT
benchmark_img/1_1.bmp,compress,433017122,211550208,70516736,70516736,70516736,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,396485443,211550208,70516736,70516736,70516736,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,278447674,211550208,70516736,70516736,70516736,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,292040614,224133120,74711040,74711040,74711040,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,391514165,224133120,74711040,74711040,74711040,0,0,0,0,0,2.700000,0,0
benchmark_img/1_2.bmp,compress,1554901649,3347054592,1115684864,1115684864,1115684864,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,678127333,224133120,74711040,74711040,74711040,0,0,0,0,0,2.700000,0,0
benchmark_img/1_2.bmp,compress,3362838815,3347054592,1115684864,1115684864,1115684864,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,391743163,224133120,74711040,74711040,74711040,0,0,0,0,0,2.700000,0,0
benchmark_img/1_2.bmp,compress,1502915078,3347054592,1115684864,1115684864,1115684864,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,314964447,224133120,74711040,74711040,74711040,0,0,0,0,0,2.700000,0,0
benchmark_img/1_2.bmp,compress,1441595929,3347054592,1115684864,1115684864,1115684864,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,334140297,224133120,74711040,74711040,74711040,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,159346135,224133120,74711040,74711040,74711040,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,284593388,224133120,74711040,74711040,74711040,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,378583860,224133120,74711040,74711040,74711040,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,284016129,224133120,74711040,74711040,74711040,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,345882855,224133120,74711040,74711040,74711040,0,0,0,0,0,2.700000,0,0
benchmark_img/1_2.bmp,compress,1469272211,3347054592,1115684864,1115684864,1115684864,0,0,0,0,0,2.700000,0,0
benchmark_img/1_3.bmp,compress,4958010051,15712911360,5237637120,5237637120,5237637120,0,0,0,0,0,2.700000,0,0
benchmark_img/1_4.bmp,compress,13730667152,46556774400,15518924800,15518924800,15518924800,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,398550007,224133120,74711040,74711040,74711040,0,0,0,0,0,2.700000,0,0
benchmark_img/1_2.bmp,compress,2276856779,3347054592,1115684864,1115684864,1115684864,0,0,0,0,0,2.700000,0,0
benchmark_img/1_3.bmp,compress,18191577324,15712911360,5237637120,5237637120,5237637120,0,0,0,0,0,2.700000,0,0
benchmark_img/1_4.bmp,compress,48345260536,46556774400,15518924800,15518924800,15518924800,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,477602155,224133120,74711040,74711040,74711040,0,0,0,0,0,2.700000,0,0
benchmark_img/1_2.bmp,compress,2663673085,3347054592,1115684864,1115684864,1115684864,0,0,0,0,0,2.700000,0,0
benchmark_img/1_3.bmp,compress,14776511974,15712911360,5237637120,5237637120,5237637120,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,379037458,224133120,74711040,74711040,74711040,0,0,0,0,0,2.700000,0,0
benchmark_img/1_2.bmp,compress,2272692163,3347054592,1115684864,1115684864,1115684864,0,0,0,0,0,2.700000,0,0
benchmark_img/1_3.bmp,compress,11099873561,15712911360,5237637120,5237637120,5237637120,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,70201011,224133120,74711040,74711040,74711040,0,0,0,0,0,2.700000,0,0
benchmark_img/1_2.bmp,compress,885268008,3347054592,1115684864,1115684864,1115684864,0,0,0,0,0,2.700000,0,0
benchmark_img/1_3.bmp,compress,3880242368,15712911360,5237637120,5237637120,5237637120,0,0,0,0,0,2.700000,0,0
benchmark_img/1_1.bmp,compress,56623778,272368214,92390593,84207551,95743390,26680,458752,458752,0,131072,2.300000,0,0
benchmark_img/1_2.bmp,compress,739692247,4022092295,1369264130,1252631491,1400091838,104836,1835008,1835008,0,524288,2.300000,0,0
benchmark_img/1_3.bmp,compress,3502935005,18949796543,6413842478,5874884119,6660838750,231196,4128768,4128768,0,1179648,2.300000,0,0
benchmark_img/1_4.bmp,compress,10324967069,56320955451,18981472342,17398386995,19940691838,404276,7340032,7340032,0,2097152,2.300000,0,0
benchmark_img/1_1.bmp,compress,13227572807,1384200822,923820513,405881023,44559774,9939512,523436032,523436032,0,149553152,2.300000,0,0
benchmark_img/1_1.bmp,compress,963471600,0,0,0,0,0,0,0,0,0,2.300000,0,0
benchmark_img/1_1.bmp,compress,940484848,0,0,0,0,0,0,0,0,0,2.300000,0,0
benchmark_img/1_2.bmp,compress,12083444693,0,0,0,0,0,0,0,0,0,2.300000,0,0
benchmark_img/1_3.bmp,compress,73382821979,0,0,0,0,0,0,0,0,0,2.300000,0,0
benchmark_img/1_1.bmp,compress,839969505,0,0,0,0,0,0,0,0,0,2.300000,0,0
benchmark_img/1_1.bmp,compress,789371960,0,0,0,0,0,0,0,0,0,2.300000,0,0
benchmark_img/1_2.bmp,compress,12508413908,0,0,0,0,0,0,0,0,0,2.300000,0,0
benchmark_img/1_1.bmp,compress,743316806,0,0,0,0,0,0,0,0,0,2.300000,0,0
benchmark_img/1_2.bmp,compress,10938925232,0,0,0,0,0,0,0,0,0,2.300000,0,0
benchmark_img/1_3.bmp,compress,57682609345,0,0,0,0,0,0,0,0,0,2.300000,0,0
benchmark_img/1_4.bmp,compress,176992377001,0,0,0,0,0,0,0,0,0,2.300000,0,0
benchmark_img/1_5.bmp,compress,404916524084,0,0,0,0,0,0,0,0,0,2.300000,0,0
